job_title,company,location,salary,experience,description,date_posted
iOS Developer,Oracle,Pune,2609000,4 years,"iOS Developer position at Oracle requiring rest api, objective-c, swiftui, ci/cd, swift, mvvm. Based in Pune. Looking for 4 years of industry experience.",2026-01-25
iOS Developer,Microsoft,Bengaluru,1535000,7 years,"iOS Developer position at Microsoft requiring xcode, objective-c, rest api, firebase, swiftui, swift, app store. Based in Bengaluru. Looking for 7 years of industry experience.",2025-02-26
Cloud Architect,Cohere,Noida,1863000,2 years,"Cloud Architect position at Cohere requiring aws, gcp, terraform, networking, ci/cd. Based in Noida. Looking for 2 years of industry experience.",2023-08-27
Agentic AI Developer,Texas Instruments,Remote,3870000,3 years,"Agentic AI Developer position at Texas Instruments requiring rag, docker, crewai, autogen, tool use. Remote-friendly role. Looking for 3 years of industry experience.",2026-04-25
QA Engineer,Wipro,Kolkata,773000,7 years,"QA Engineer position at Wipro requiring sql, selenium, rest api, pytest, appium, python, test planning. Based in Kolkata. Looking for 7 years of industry experience.",2026-03-16
Senior Software Engineer,Qualcomm,"Amsterdam, NL",7135000,3 years,"Senior Software Engineer position at Qualcomm requiring system design, grpc, aws, ci/cd, distributed systems, java. Based in Amsterdam, NL. Looking for 3 years of industry experience.",2023-07-28
ML Engineer,Netflix,Chennai,1818000,4 years,"ML Engineer position at Netflix requiring sql, docker, kubernetes, spark, pytorch. Based in Chennai. Looking for 4 years of industry experience.",2024-01-17
AI Engineer,Zomato,Kolkata,3522000,9 years,"AI Engineer position at Zomato requiring langchain, prompt engineering, aws, vector databases, docker, llm, pytorch. Based in Kolkata. Looking for 9 years of industry experience.",2025-05-29
Android Developer,Visa,Remote,1978000,3 years,"Android Developer position at Visa requiring ci/cd, java, git, kotlin, android sdk, firebase, mvvm. Remote-friendly role. Looking for 3 years of industry experience.",2023-04-05
Software Engineer,Twilio,Kolkata,1240000,5 years,"Software Engineer position at Twilio requiring linux, spring boot, data structures, sql. Based in Kolkata. Looking for 5 years of industry experience.",2023-06-24
Blockchain Developer,LangChain,"Toronto, Canada",13719000,8 years,"Blockchain Developer position at LangChain requiring security, solidity, defi, hardhat, ethereum, rust. Based in Toronto, Canada. Looking for 8 years of industry experience.",2025-12-22
Backend Developer,KPMG,Hyderabad,1725000,4 years,"Backend Developer position at KPMG requiring docker, node.js, java, python, django. Based in Hyderabad. Looking for 4 years of industry experience.",2024-06-29
Agentic AI Developer,Scale AI,Pune,5070000,2 years,"Agentic AI Developer position at Scale AI requiring autogen, langchain, rag, docker, tool use, crewai, openai api. Based in Pune. Looking for 2 years of industry experience.",2023-02-16
Site Reliability Engineer,Persistent Systems,Hyderabad,1545000,3 years,"Site Reliability Engineer position at Persistent Systems requiring terraform, docker, kubernetes, incident management, monitoring, aws. Based in Hyderabad. Looking for 3 years of industry experience.",2024-12-06
Senior Data Scientist,NIIT Technologies,"Austin, US",8352000,2 years,"Senior Data Scientist position at NIIT Technologies requiring causal inference, deep learning, aws, statistical modeling, mlops, pytorch, tensorflow. Based in Austin, US. Looking for 2 years of industry experience.",2025-09-28
Data Engineer,Hexaware,Remote,1644000,0 years,"Data Engineer position at Hexaware requiring spark, sql, kafka, aws, airflow, postgres. Remote-friendly role. Looking for 0 years of industry experience.",2023-06-24
Embedded Systems Engineer,Netflix,Ahmedabad,881000,5 years,"Embedded Systems Engineer position at Netflix requiring can bus, python, c, c++, hardware debugging. Based in Ahmedabad. Looking for 5 years of industry experience.",2025-12-16
ML Engineer,Together AI,Chennai,4184000,9 years,"ML Engineer position at Together AI requiring sql, spark, pytorch, python, fastapi, tensorflow, docker. Based in Chennai. Looking for 9 years of industry experience.",2023-11-25
Data Scientist,CRED,"San Francisco, US",3760000,2 years,"Data Scientist position at CRED requiring tableau, python, machine learning, numpy. Based in San Francisco, US. Looking for 2 years of industry experience.",2024-05-25
Senior Software Engineer,Samsung Semiconductor,Hyderabad,1925000,4 years,"Senior Software Engineer position at Samsung Semiconductor requiring aws, system design, kubernetes, ci/cd, rest api. Based in Hyderabad. Looking for 4 years of industry experience.",2023-10-13
Backend Developer,Qualcomm,"Dubai, UAE",4416000,7 years,"Backend Developer position at Qualcomm requiring node.js, python, mongodb, docker, rest api. Based in Dubai, UAE. Looking for 7 years of industry experience.",2025-12-04
NLP Engineer,PayPal,Gurugram,4068000,7 years,"NLP Engineer position at PayPal requiring spacy, ner, text classification, huggingface, pytorch, nltk, llm. Based in Gurugram. Looking for 7 years of industry experience.",2023-11-02
QA Engineer,Apple,"San Francisco, US",3755000,8 years,"QA Engineer position at Apple requiring pytest, ci/cd, selenium, sql. Based in San Francisco, US. Looking for 8 years of industry experience.",2024-08-27
ML Engineer,PhonePe,Chennai,2851000,10+ years,"ML Engineer position at PhonePe requiring spark, tensorflow, sql, docker. Based in Chennai. Looking for 10+ years of industry experience.",2025-05-30
MLOps Engineer,Oracle,Remote,5726000,10+ years,"MLOps Engineer position at Oracle requiring airflow, kubeflow, kubernetes, python, monitoring, aws, ci/cd. Remote-friendly role. Looking for 10+ years of industry experience.",2024-11-10
AI Engineer,Visa,Jaipur,1371000,4 years,"AI Engineer position at Visa requiring vector databases, pytorch, python, langchain. Based in Jaipur. Looking for 4 years of industry experience.",2023-08-24
LLM Engineer,Micron,Jaipur,4428000,7 years,"LLM Engineer position at Micron requiring pytorch, vllm, openai api, transformers, vector databases, python. Based in Jaipur. Looking for 7 years of industry experience.",2023-01-27
Senior Data Scientist,Oracle,"Austin, US",7201000,6 years,"Senior Data Scientist position at Oracle requiring tensorflow, aws, deep learning, sql, python, pytorch, mlops. Based in Austin, US. Looking for 6 years of industry experience.",2023-01-06
iOS Developer,Goldman Sachs,Hyderabad,2506000,6 years,"iOS Developer position at Goldman Sachs requiring swiftui, mvvm, xcode, firebase, app store, objective-c. Based in Hyderabad. Looking for 6 years of industry experience.",2026-03-22
QA Engineer,Adobe,Hyderabad,1031000,8 years,"QA Engineer position at Adobe requiring test planning, selenium, pytest, appium, rest api. Based in Hyderabad. Looking for 8 years of industry experience.",2025-03-22
Software Engineer,Observe.AI,Mumbai,1141000,3 years,"Software Engineer position at Observe.AI requiring microservices, algorithms, data structures, linux, spring boot, c++, python. Based in Mumbai. Looking for 3 years of industry experience.",2024-05-24
Embedded Systems Engineer,Netflix,Hyderabad,1463000,7 years,"Embedded Systems Engineer position at Netflix requiring linux, microcontrollers, c++, c, arm, can bus. Based in Hyderabad. Looking for 7 years of industry experience.",2025-06-11
Data Analyst,Anthropic,Delhi,1842000,9 years,"Data Analyst position at Anthropic requiring sql, reporting, power bi, excel. Based in Delhi. Looking for 9 years of industry experience.",2024-11-09
Senior Data Scientist,Zomato,Noida,4238000,6 years,"Senior Data Scientist position at Zomato requiring causal inference, statistical modeling, mlops, pytorch. Based in Noida. Looking for 6 years of industry experience.",2026-04-03
ML Engineer,Datadog,Chennai,2616000,0 years,"ML Engineer position at Datadog requiring scikit-learn, python, tensorflow, sql, fastapi. Based in Chennai. Looking for 0 years of industry experience.",2023-09-01
Backend Developer,Adobe,Ahmedabad,1835000,9 years,"Backend Developer position at Adobe requiring django, rest api, fastapi, python. Based in Ahmedabad. Looking for 9 years of industry experience.",2024-02-04
Business Analyst,Weights & Biases,Bengaluru,673000,1 year,"Business Analyst position at Weights & Biases requiring agile, tableau, requirements gathering, reporting, excel, stakeholder management. Based in Bengaluru. Looking for 1 year of industry experience.",2026-02-05
Security Engineer,Anthropic,"Amsterdam, NL",10728000,7 years,"Security Engineer position at Anthropic requiring threat modeling, compliance, zero trust, siem, aws. Based in Amsterdam, NL. Looking for 7 years of industry experience.",2024-07-09
Senior Data Scientist,Visa,Noida,3902000,2 years,"Senior Data Scientist position at Visa requiring causal inference, statistical modeling, tensorflow, aws, spark, pytorch. Based in Noida. Looking for 2 years of industry experience.",2026-05-05
ML Engineer,PwC,Noida,2327000,4 years,"ML Engineer position at PwC requiring pytorch, kubernetes, tensorflow, spark. Based in Noida. Looking for 4 years of industry experience.",2024-10-26
Blockchain Developer,Salesforce,Mumbai,3832000,7 years,"Blockchain Developer position at Salesforce requiring typescript, security, web3.js, rust, solidity. Based in Mumbai. Looking for 7 years of industry experience.",2024-03-28
Senior Data Scientist,Zomato,Ahmedabad,1364000,1 year,"Senior Data Scientist position at Zomato requiring deep learning, python, mlops, tensorflow. Based in Ahmedabad. Looking for 1 year of industry experience.",2025-12-28
Frontend Developer,Mistral AI,"Berlin, Germany",7003000,8 years,"Frontend Developer position at Mistral AI requiring typescript, graphql, redux, react, javascript, webpack, css. Based in Berlin, Germany. Looking for 8 years of industry experience.",2024-03-26
AI Engineer,Databricks,Kolkata,4167000,10+ years,"AI Engineer position at Databricks requiring vector databases, llm, python, aws, prompt engineering, fastapi. Based in Kolkata. Looking for 10+ years of industry experience.",2026-02-28
Product Manager,Hexaware,Jaipur,2529000,5 years,"Product Manager position at Hexaware requiring go-to-market, roadmap, a/b testing, user research, sql, jira, stakeholder management. Based in Jaipur. Looking for 5 years of industry experience.",2023-02-07
AI Research Scientist,Juspay,"Berlin, Germany",13635000,3 years,"AI Research Scientist position at Juspay requiring nlp, deep learning, computer vision, latex, statistics, reinforcement learning, python. Based in Berlin, Germany. Looking for 3 years of industry experience.",2023-06-29
Generative AI Engineer,Meesho,Gurugram,8486000,9 years,"Generative AI Engineer position at Meesho requiring pytorch, fastapi, python, prompt engineering, llm, openai api. Based in Gurugram. Looking for 9 years of industry experience.",2023-12-10
Cloud Architect,Barclays,"New York, US",8161000,3 years,"Cloud Architect position at Barclays requiring security, ci/cd, devops, aws, networking. Based in New York, US. Looking for 3 years of industry experience.",2025-11-18
Data Engineer,Micron,Mumbai,1534000,4 years,"Data Engineer position at Micron requiring sql, postgres, airflow, python. Based in Mumbai. Looking for 4 years of industry experience.",2025-10-12
Generative AI Engineer,Datadog,Pune,2634000,3 years,"Generative AI Engineer position at Datadog requiring stable diffusion, fastapi, openai api, llm. Based in Pune. Looking for 3 years of industry experience.",2023-08-04
LLM Engineer,PayPal,"San Francisco, US",12856000,3 years,"LLM Engineer position at PayPal requiring python, fine-tuning, huggingface, rag, langchain, vector databases, pytorch. Based in San Francisco, US. Looking for 3 years of industry experience.",2023-10-26
AI Research Scientist,Hexaware,"Seattle, US",25000000,9 years,"AI Research Scientist position at Hexaware requiring statistics, pytorch, transformers, nlp, latex, computer vision, research. Based in Seattle, US. Looking for 9 years of industry experience.",2025-03-21
Senior Data Scientist,Hugging Face,Ahmedabad,3645000,5 years,"Senior Data Scientist position at Hugging Face requiring python, causal inference, deep learning, sql. Based in Ahmedabad. Looking for 5 years of industry experience.",2026-04-17
iOS Developer,Apple,Mumbai,1710000,5 years,"iOS Developer position at Apple requiring mvvm, core data, firebase, ci/cd, rest api, swiftui. Based in Mumbai. Looking for 5 years of industry experience.",2024-09-26
Android Developer,Citibank,Gurugram,1539000,4 years,"Android Developer position at Citibank requiring firebase, sqlite, android sdk, rest api. Based in Gurugram. Looking for 4 years of industry experience.",2025-05-22
Data Scientist,Razorpay,Jaipur,1317000,5 years,"Data Scientist position at Razorpay requiring scikit-learn, numpy, spark, statistics, tableau, pandas. Based in Jaipur. Looking for 5 years of industry experience.",2026-03-09
Senior Software Engineer,Scale AI,Chennai,2030000,5 years,"Senior Software Engineer position at Scale AI requiring distributed systems, ci/cd, aws, kubernetes, java, system design. Based in Chennai. Looking for 5 years of industry experience.",2026-03-08
Generative AI Engineer,Byju's,Noida,4451000,4 years,"Generative AI Engineer position at Byju's requiring vector databases, pytorch, llm, stable diffusion, rag, langchain, prompt engineering. Based in Noida. Looking for 4 years of industry experience.",2024-11-06
NLP Engineer,Swiggy,"San Francisco, US",6384000,0 years,"NLP Engineer position at Swiggy requiring ner, llm, nltk, sql. Based in San Francisco, US. Looking for 0 years of industry experience.",2024-03-22
NLP Engineer,Cohere,Delhi,7378000,8 years,"NLP Engineer position at Cohere requiring spacy, python, llm, text classification, ner, huggingface, sql. Based in Delhi. Looking for 8 years of industry experience.",2025-08-11
AI Engineer,Artivatic,Remote,5206000,7 years,"AI Engineer position at Artivatic requiring vector databases, python, aws, openai api, langchain. Remote-friendly role. Looking for 7 years of industry experience.",2025-12-30
Full Stack Developer,Dream11,Hyderabad,2086000,8 years,"Full Stack Developer position at Dream11 requiring postgresql, git, typescript, python, react. Based in Hyderabad. Looking for 8 years of industry experience.",2024-04-28
MLOps Engineer,Niramai,Bengaluru,3655000,2 years,"MLOps Engineer position at Niramai requiring kubernetes, terraform, airflow, aws, mlflow, kubeflow. Based in Bengaluru. Looking for 2 years of industry experience.",2024-04-04
Software Engineer,Freshworks,Gurugram,1134000,4 years,"Software Engineer position at Freshworks requiring algorithms, linux, sql, java, data structures. Based in Gurugram. Looking for 4 years of industry experience.",2024-05-02
Blockchain Developer,Twilio,"Seattle, US",7196000,4 years,"Blockchain Developer position at Twilio requiring ethereum, smart contracts, typescript, security, web3.js, python. Based in Seattle, US. Looking for 4 years of industry experience.",2023-04-20
Cloud Architect,Hexaware,Gurugram,6354000,10+ years,"Cloud Architect position at Hexaware requiring kubernetes, networking, ci/cd, aws, gcp. Based in Gurugram. Looking for 10+ years of industry experience.",2025-05-18
Data Scientist,Datadog,Gurugram,3682000,5 years,"Data Scientist position at Datadog requiring spark, numpy, machine learning, pandas. Based in Gurugram. Looking for 5 years of industry experience.",2025-01-23
Software Engineer,Salesforce,Hyderabad,1873000,7 years,"Software Engineer position at Salesforce requiring c++, python, spring boot, sql. Based in Hyderabad. Looking for 7 years of industry experience.",2023-08-21
Senior Data Scientist,Mistral AI,Noida,5044000,9 years,"Senior Data Scientist position at Mistral AI requiring mlops, aws, spark, sql, tensorflow, deep learning, statistical modeling. Based in Noida. Looking for 9 years of industry experience.",2023-08-16
AI Engineer,Snowflake,Hyderabad,4938000,7 years,"AI Engineer position at Snowflake requiring prompt engineering, pytorch, llm, openai api, vector databases. Based in Hyderabad. Looking for 7 years of industry experience.",2023-01-30
Frontend Developer,Wipro,Noida,1222000,0 years,"Frontend Developer position at Wipro requiring redux, typescript, javascript, graphql, webpack, css, next.js. Based in Noida. Looking for 0 years of industry experience.",2023-02-24
Computer Vision Engineer,Stripe,Pune,2578000,6 years,"Computer Vision Engineer position at Stripe requiring onnx, image segmentation, tensorflow, cuda, python, pytorch, yolo. Based in Pune. Looking for 6 years of industry experience.",2025-01-27
AI Research Scientist,Databricks,Noida,2935000,0 years,"AI Research Scientist position at Databricks requiring python, deep learning, nlp, pytorch, reinforcement learning, statistics. Based in Noida. Looking for 0 years of industry experience.",2025-05-27
QA Engineer,Paytm,"Amsterdam, NL",935000,2 years,"QA Engineer position at Paytm requiring rest api, python, jira, test planning, appium, pytest. Based in Amsterdam, NL. Looking for 2 years of industry experience.",2026-03-26
Full Stack Developer,Accenture,Ahmedabad,2758000,9 years,"Full Stack Developer position at Accenture requiring react, git, python, typescript, mongodb, node.js, postgresql. Based in Ahmedabad. Looking for 9 years of industry experience.",2026-03-04
Product Manager,Weights & Biases,Noida,3951000,7 years,"Product Manager position at Weights & Biases requiring stakeholder management, product strategy, agile, user research, roadmap. Based in Noida. Looking for 7 years of industry experience.",2023-11-03
Computer Vision Engineer,Together AI,Remote,1423000,5 years,"Computer Vision Engineer position at Together AI requiring python, deep learning, opencv, tensorflow, yolo, cuda. Remote-friendly role. Looking for 5 years of industry experience.",2025-06-03
Site Reliability Engineer,EY,Kolkata,3454000,6 years,"Site Reliability Engineer position at EY requiring terraform, alerting, incident management, linux. Based in Kolkata. Looking for 6 years of industry experience.",2023-03-21
Data Engineer,Twilio,Ahmedabad,817000,3 years,"Data Engineer position at Twilio requiring kafka, hadoop, python, airflow, dbt. Based in Ahmedabad. Looking for 3 years of industry experience.",2026-05-12
Software Engineer,Hugging Face,Delhi,3078000,12+ years,"Software Engineer position at Hugging Face requiring algorithms, c++, java, git. Based in Delhi. Looking for 12+ years of industry experience.",2024-02-01
LLM Engineer,Ola,Noida,3129000,1 year,"LLM Engineer position at Ola requiring vllm, transformers, pytorch, rag, fine-tuning. Based in Noida. Looking for 1 year of industry experience.",2023-10-28
Security Engineer,Scale AI,Gurugram,2408000,7 years,"Security Engineer position at Scale AI requiring penetration testing, threat modeling, siem, splunk, kubernetes. Based in Gurugram. Looking for 7 years of industry experience.",2025-05-05
AI Research Scientist,Atlassian,"Seattle, US",6132000,3 years,"AI Research Scientist position at Atlassian requiring deep learning, statistics, research, reinforcement learning, computer vision. Based in Seattle, US. Looking for 3 years of industry experience.",2025-06-29
QA Engineer,Zomato,"New York, US",2716000,0 years,"QA Engineer position at Zomato requiring postman, sql, python, rest api. Based in New York, US. Looking for 0 years of industry experience.",2026-01-13
Backend Developer,Vcana Global,Pune,1880000,5 years,"Backend Developer position at Vcana Global requiring fastapi, java, python, postgresql, node.js. Based in Pune. Looking for 5 years of industry experience.",2023-11-05
LLM Engineer,Twilio,"Austin, US",4973000,3 years,"LLM Engineer position at Twilio requiring transformers, pytorch, openai api, rag. Based in Austin, US. Looking for 3 years of industry experience.",2026-02-07
NLP Engineer,Stripe,"San Francisco, US",5271000,5 years,"NLP Engineer position at Stripe requiring ner, text classification, huggingface, transformers, llm, pytorch, spacy. Based in San Francisco, US. Looking for 5 years of industry experience.",2025-04-16
Security Engineer,Stability AI,Hyderabad,2696000,12+ years,"Security Engineer position at Stability AI requiring kubernetes, zero trust, threat modeling, siem. Based in Hyderabad. Looking for 12+ years of industry experience.",2024-06-10
MLOps Engineer,Databricks,"San Francisco, US",9460000,0 years,"MLOps Engineer position at Databricks requiring airflow, aws, docker, terraform, python. Based in San Francisco, US. Looking for 0 years of industry experience.",2025-08-11
Security Engineer,LangChain,Hyderabad,2318000,1 year,"Security Engineer position at LangChain requiring penetration testing, threat modeling, compliance, kubernetes, devsecops, zero trust. Based in Hyderabad. Looking for 1 year of industry experience.",2024-07-12
NLP Engineer,Byju's,Pune,2132000,2 years,"NLP Engineer position at Byju's requiring python, ner, transformers, llm, nltk, text classification, spacy. Based in Pune. Looking for 2 years of industry experience.",2023-11-10
NLP Engineer,KPMG,Ahmedabad,2733000,5 years,"NLP Engineer position at KPMG requiring sql, pytorch, huggingface, spacy. Based in Ahmedabad. Looking for 5 years of industry experience.",2023-05-26
AI Research Scientist,Mistral AI,Mumbai,6806000,3 years,"AI Research Scientist position at Mistral AI requiring pytorch, computer vision, python, statistics, deep learning, latex. Based in Mumbai. Looking for 3 years of industry experience.",2025-10-06
Embedded Systems Engineer,SAP,"San Francisco, US",2475000,2 years,"Embedded Systems Engineer position at SAP requiring c, hardware debugging, can bus, firmware, python, arm, microcontrollers. Based in San Francisco, US. Looking for 2 years of industry experience.",2024-02-17
Security Engineer,Paytm,Mumbai,1370000,2 years,"Security Engineer position at Paytm requiring kubernetes, zero trust, threat modeling, compliance, splunk, aws, penetration testing. Based in Mumbai. Looking for 2 years of industry experience.",2023-10-23
Cloud Architect,Amazon,"San Francisco, US",9921000,1 year,"Cloud Architect position at Amazon requiring gcp, kubernetes, devops, ci/cd. Based in San Francisco, US. Looking for 1 year of industry experience.",2025-01-09
AI Research Scientist,Byju's,Jaipur,2308000,2 years,"AI Research Scientist position at Byju's requiring pytorch, nlp, python, computer vision, transformers, reinforcement learning. Based in Jaipur. Looking for 2 years of industry experience.",2023-06-25
NLP Engineer,Observe.AI,"Dubai, UAE",14202000,8 years,"NLP Engineer position at Observe.AI requiring huggingface, python, llm, sql, text classification, ner. Based in Dubai, UAE. Looking for 8 years of industry experience.",2025-08-23
Data Scientist,Apple,Gurugram,1037000,3 years,"Data Scientist position at Apple requiring tensorflow, sql, machine learning, tableau, python, numpy, scikit-learn. Based in Gurugram. Looking for 3 years of industry experience.",2023-07-31
NLP Engineer,EY,"San Francisco, US",8788000,2 years,"NLP Engineer position at EY requiring python, nltk, spacy, transformers, llm, huggingface. Based in San Francisco, US. Looking for 2 years of industry experience.",2026-03-31
Blockchain Developer,Zomato,"San Francisco, US",13341000,9 years,"Blockchain Developer position at Zomato requiring typescript, web3.js, smart contracts, rust, solidity, hardhat, python. Based in San Francisco, US. Looking for 9 years of industry experience.",2023-05-18
ML Engineer,Accenture,Mumbai,2240000,6 years,"ML Engineer position at Accenture requiring python, sql, fastapi, spark. Based in Mumbai. Looking for 6 years of industry experience.",2023-08-06
Backend Developer,Yellow.ai,Pune,2349000,7 years,"Backend Developer position at Yellow.ai requiring java, python, docker, fastapi. Based in Pune. Looking for 7 years of industry experience.",2023-11-01
Product Manager,Mastek,Gurugram,2499000,3 years,"Product Manager position at Mastek requiring agile, jira, go-to-market, product strategy, stakeholder management, user research, roadmap. Based in Gurugram. Looking for 3 years of industry experience.",2025-08-21
ML Engineer,Ola,Gurugram,3057000,6 years,"ML Engineer position at Ola requiring docker, sql, kubernetes, scikit-learn, pytorch, fastapi, mlflow. Based in Gurugram. Looking for 6 years of industry experience.",2024-10-20
AI Engineer,Paytm,"San Francisco, US",12916000,5 years,"AI Engineer position at Paytm requiring langchain, prompt engineering, llm, docker, pytorch, openai api, fastapi. Based in San Francisco, US. Looking for 5 years of industry experience.",2023-12-06
Software Engineer,NIIT Technologies,Remote,1562000,12+ years,"Software Engineer position at NIIT Technologies requiring java, linux, sql, data structures, c++, python. Remote-friendly role. Looking for 12+ years of industry experience.",2025-01-20
Security Engineer,Zensar,Remote,1860000,6 years,"Security Engineer position at Zensar requiring python, threat modeling, compliance, kubernetes, splunk. Remote-friendly role. Looking for 6 years of industry experience.",2025-05-17
Security Engineer,Stability AI,Hyderabad,5103000,8 years,"Security Engineer position at Stability AI requiring kubernetes, splunk, siem, devsecops, compliance, python, penetration testing. Based in Hyderabad. Looking for 8 years of industry experience.",2025-12-21
Security Engineer,Qualcomm,"San Francisco, US",12648000,10+ years,"Security Engineer position at Qualcomm requiring threat modeling, zero trust, penetration testing, kubernetes. Based in San Francisco, US. Looking for 10+ years of industry experience.",2025-01-13
Generative AI Engineer,JPMorgan,Delhi,5310000,7 years,"Generative AI Engineer position at JPMorgan requiring pytorch, llm, langchain, openai api, prompt engineering, rag, python. Based in Delhi. Looking for 7 years of industry experience.",2025-11-21
Embedded Systems Engineer,Netflix,Bengaluru,1059000,3 years,"Embedded Systems Engineer position at Netflix requiring firmware, can bus, rtos, python, hardware debugging, c. Based in Bengaluru. Looking for 3 years of industry experience.",2024-12-29
ML Engineer,PwC,Gurugram,1790000,1 year,"ML Engineer position at PwC requiring fastapi, scikit-learn, spark, pytorch. Based in Gurugram. Looking for 1 year of industry experience.",2024-01-10
Product Manager,Zoho,Ahmedabad,1903000,3 years,"Product Manager position at Zoho requiring agile, sql, roadmap, product strategy, stakeholder management, user research. Based in Ahmedabad. Looking for 3 years of industry experience.",2023-04-27
Site Reliability Engineer,Qualcomm,Jaipur,4803000,9 years,"Site Reliability Engineer position at Qualcomm requiring docker, monitoring, ci/cd, alerting. Based in Jaipur. Looking for 9 years of industry experience.",2025-05-18
NLP Engineer,Broadcom,Delhi,6773000,8 years,"NLP Engineer position at Broadcom requiring sql, spacy, pytorch, python, transformers, llm. Based in Delhi. Looking for 8 years of industry experience.",2026-03-27
QA Engineer,Artivatic,Bengaluru,1421000,5 years,"QA Engineer position at Artivatic requiring selenium, ci/cd, rest api, postman, jira. Based in Bengaluru. Looking for 5 years of industry experience.",2025-12-25
Android Developer,Oracle,Mumbai,873000,3 years,"Android Developer position at Oracle requiring android sdk, sqlite, mvvm, java, git. Based in Mumbai. Looking for 3 years of industry experience.",2025-10-11
MLOps Engineer,Morgan Stanley,Mumbai,2152000,0 years,"MLOps Engineer position at Morgan Stanley requiring airflow, python, kubernetes, ci/cd, terraform, monitoring. Based in Mumbai. Looking for 0 years of industry experience.",2025-09-18
AI Engineer,Hugging Face,Hyderabad,4117000,3 years,"AI Engineer position at Hugging Face requiring prompt engineering, llm, pytorch, fastapi. Based in Hyderabad. Looking for 3 years of industry experience.",2024-07-31
ML Engineer,Together AI,Remote,1971000,2 years,"ML Engineer position at Together AI requiring sql, docker, spark, python, tensorflow, pytorch. Remote-friendly role. Looking for 2 years of industry experience.",2026-04-10
Data Scientist,Vcana Global,Gurugram,1843000,4 years,"Data Scientist position at Vcana Global requiring tensorflow, tableau, scikit-learn, machine learning. Based in Gurugram. Looking for 4 years of industry experience.",2025-08-29
DevOps Engineer,Databricks,Gurugram,2796000,1 year,"DevOps Engineer position at Databricks requiring ci/cd, linux, docker, aws. Based in Gurugram. Looking for 1 year of industry experience.",2024-01-11
Senior Software Engineer,Oracle,Remote,2217000,2 years,"Senior Software Engineer position at Oracle requiring ci/cd, system design, grpc, distributed systems, java, aws. Remote-friendly role. Looking for 2 years of industry experience.",2025-10-28
Data Analyst,Oracle,"Amsterdam, NL",3456000,6 years,"Data Analyst position at Oracle requiring data visualization, statistics, power bi, excel, pandas, r, reporting. Based in Amsterdam, NL. Looking for 6 years of industry experience.",2025-07-14
NLP Engineer,Datadog,"San Francisco, US",19162000,7 years,"NLP Engineer position at Datadog requiring nltk, python, transformers, sql, llm. Based in San Francisco, US. Looking for 7 years of industry experience.",2026-04-05
Frontend Developer,Google,Remote,1886000,2 years,"Frontend Developer position at Google requiring react, next.js, redux, typescript, graphql, html, javascript. Remote-friendly role. Looking for 2 years of industry experience.",2023-05-12
Agentic AI Developer,McKinsey,Mumbai,6823000,4 years,"Agentic AI Developer position at McKinsey requiring rag, crewai, python, vector databases, langchain, autogen. Based in Mumbai. Looking for 4 years of industry experience.",2025-12-17
Data Engineer,Meesho,Hyderabad,1924000,6 years,"Data Engineer position at Meesho requiring dbt, aws, hadoop, python, snowflake. Based in Hyderabad. Looking for 6 years of industry experience.",2025-01-07
Embedded Systems Engineer,Google,Mumbai,3021000,9 years,"Embedded Systems Engineer position at Google requiring rtos, arm, c, can bus, firmware. Based in Mumbai. Looking for 9 years of industry experience.",2023-02-27
Backend Developer,Anthropic,"Seattle, US",5413000,4 years,"Backend Developer position at Anthropic requiring fastapi, python, docker, node.js, django, postgresql. Based in Seattle, US. Looking for 4 years of industry experience.",2023-03-13
MLOps Engineer,Microsoft,Pune,2467000,9 years,"MLOps Engineer position at Microsoft requiring docker, monitoring, mlflow, kubeflow, terraform, ci/cd. Based in Pune. Looking for 9 years of industry experience.",2025-10-04
Business Analyst,Citibank,Ahmedabad,501000,3 years,"Business Analyst position at Citibank requiring jira, reporting, power bi, stakeholder management, tableau. Based in Ahmedabad. Looking for 3 years of industry experience.",2025-05-06
DevOps Engineer,Goldman Sachs,Remote,1041000,3 years,"DevOps Engineer position at Goldman Sachs requiring terraform, docker, aws, ci/cd. Remote-friendly role. Looking for 3 years of industry experience.",2023-01-30
Site Reliability Engineer,SAP,"Seattle, US",5840000,1 year,"Site Reliability Engineer position at SAP requiring docker, kubernetes, ci/cd, python, incident management, aws, monitoring. Based in Seattle, US. Looking for 1 year of industry experience.",2024-12-11
Computer Vision Engineer,Capgemini,Chennai,5345000,10+ years,"Computer Vision Engineer position at Capgemini requiring deep learning, tensorflow, image segmentation, onnx, pytorch, c++, python. Based in Chennai. Looking for 10+ years of industry experience.",2025-12-06
Computer Vision Engineer,Together AI,Remote,2362000,1 year,"Computer Vision Engineer position at Together AI requiring image segmentation, pytorch, opencv, c++, cuda. Remote-friendly role. Looking for 1 year of industry experience.",2025-12-07
ML Engineer,Capgemini,"Berlin, Germany",4440000,0 years,"ML Engineer position at Capgemini requiring kubernetes, docker, spark, scikit-learn. Based in Berlin, Germany. Looking for 0 years of industry experience.",2026-05-25
Data Scientist,Cognizant,Ahmedabad,2943000,8 years,"Data Scientist position at Cognizant requiring tableau, scikit-learn, tensorflow, python, pandas. Based in Ahmedabad. Looking for 8 years of industry experience.",2023-11-12
